ram,nm,nt,rf,lt,nn,t,wl,dbs,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[TOTAL_GCS_PS_Scavenge] Count,[TOTAL_GC_TIME_PS_Scavenge] Time(ms),[TOTAL_GC_TIME_%_PS_Scavenge] Time(%),[TOTAL_GCS_PS_MarkSweep] Count,[TOTAL_GC_TIME_PS_MarkSweep] Time(ms),[TOTAL_GC_TIME_%_PS_MarkSweep] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK,[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
1GB,eth,rp,1,1,1,19,e,1000, 543225.0, 18.40857839753325, 17.0, 75.0, 0.013806433798149937, 0.0, 0.0, 0.0, 17.0, 75.0, 0.013806433798149937,,,,,,,, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 529.0, 10449.08506616257, 7880.0, 41343.0, 15527.0, 20415.0, 529, 9471.0, 56441.101045296164, 10064.0, 147583.0, 94591.0, 108415.0, 9471,,,,,,,
1GB,eth,rp,1,1,1,16,a,1000, 49940.0, 200.2402883460152, 1.0, 7.0, 0.014016820184221065, 0.0, 0.0, 0.0, 1.0, 7.0, 0.014016820184221065, 5018.0, 5256.334994021522, 3522.0, 51999.0, 9895.0, 11455.0, 5018, 1.0, 2216960.0, 2215936.0, 2217983.0, 2217983.0, 2217983.0,,,,,,,,,,,,,,, 4982.0, 4131.382778000803, 3118.0, 51519.0, 5259.0, 7119.0, 4982
1GB,eth,rp,1,1,1,14,c,1000, 61151.0, 163.52962339127734, 1.0, 19.0, 0.031070628444342694, 0.0, 0.0, 0.0, 1.0, 19.0, 0.031070628444342694, 10000.0, 5809.8625, 3568.0, 51583.0, 10303.0, 12583.0, 10000, 1.0, 2225152.0, 2224128.0, 2226175.0, 2226175.0, 2226175.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,26,c,1000, 60642.0, 164.9022129876983, 1.0, 8.0, 0.013192177039015863, 0.0, 0.0, 0.0, 1.0, 8.0, 0.013192177039015863, 10000.0, 5765.535, 3646.0, 86335.0, 10143.0, 12719.0, 10000, 1.0, 2223104.0, 2222080.0, 2224127.0, 2224127.0, 2224127.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,26,e,1000, 539112.0, 18.549021353633382, 17.0, 68.0, 0.0126133345204707, 0.0, 0.0, 0.0, 17.0, 68.0, 0.0126133345204707,,,,,,,, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 467.0, 10623.468950749464, 7764.0, 22495.0, 16095.0, 19295.0, 467, 9533.0, 55702.56036924368, 9648.0, 152319.0, 93695.0, 107391.0, 9533,,,,,,,
1GB,eth,rp,1,1,1,26,a,1000, 53345.0, 187.45899334520573, 1.0, 9.0, 0.016871309401068516, 0.0, 0.0, 0.0, 1.0, 9.0, 0.016871309401068516, 4957.0, 5774.266290094815, 3696.0, 73087.0, 10127.0, 12439.0, 4957, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,, 5043.0, 4288.967083085465, 3296.0, 43007.0, 5523.0, 8983.0, 5043
1GB,eth,rp,1,1,1,23,c,1000, 65558.0, 152.53668507276, 1.0, 9.0, 0.013728301656548399, 0.0, 0.0, 0.0, 1.0, 9.0, 0.013728301656548399, 10000.0, 6256.084, 3456.0, 56671.0, 10367.0, 13935.0, 10000, 1.0, 2221056.0, 2220032.0, 2222079.0, 2222079.0, 2222079.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,30,e,1000, 536695.0, 18.63255666626296, 17.0, 69.0, 0.012856464099721444, 0.0, 0.0, 0.0, 17.0, 69.0, 0.012856464099721444,,,,,,,, 1.0, 2221056.0, 2220032.0, 2222079.0, 2222079.0, 2222079.0, 495.0, 10614.860606060605, 8040.0, 25231.0, 15975.0, 19775.0, 495, 9505.0, 55583.439032088376, 9368.0, 163455.0, 94463.0, 109887.0, 9505,,,,,,,
1GB,eth,rp,1,1,1,21,e,1000, 544197.0, 18.37569850623947, 17.0, 69.0, 0.012679231969305232, 0.0, 0.0, 0.0, 17.0, 69.0, 0.012679231969305232,,,,,,,, 1.0, 2219008.0, 2217984.0, 2220031.0, 2220031.0, 2220031.0, 492.0, 10890.28455284553, 7764.0, 37727.0, 16479.0, 24575.0, 492, 9508.0, 56338.486748001684, 10432.0, 159359.0, 94847.0, 109631.0, 9508,,,,,,,
1GB,eth,rp,1,1,1,2,a,1000, 49105.0, 203.64524997454436, 1.0, 9.0, 0.01832807249770899, 0.0, 0.0, 0.0, 1.0, 9.0, 0.01832807249770899, 5026.0, 5200.929964186232, 3772.0, 51263.0, 6559.0, 9119.0, 5026, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,,,,,,,,, 4974.0, 4013.957378367511, 3102.0, 46207.0, 5071.0, 7507.0, 4974
