wl,Throughput(ops/sec),[READ-MODIFY-WRITE]-AverageLatency(us),RunTime(ms),ram,n,t,dbs
f, 1295.5448802657422, 763.695098, 1295.5448802657422,2GB,3,3,500
a, 664.9422497656078, 1494.002148, 664.9422497656078,2GB,6,3,500
a, 2796.6630216825283, 353.126563, 2796.6630216825283,2GB,1,2,1000
a, 282.8614261873108, 2190.7278379462496, 282.8614261873108,2GB,6,2,1000
f, 509.580105992662, 847.3984280532044, 509.580105992662,2GB,3,4,800
f, 211.77915669539803, 2713.6900630914824, 211.77915669539803,2GB,6,4,500
c, 796.4954201513341, 2208768.0, 796.4954201513341,2GB,1,1,1000
c, 331.2684268062411, 2221056.0, 331.2684268062411,2GB,6,1,800
f, 447.52741105392704, 364.9593625498008, 447.52741105392704,2GB,1,2,800
c, 458.23214040232784, 2210816.0, 458.23214040232784,2GB,3,4,1000
f, 2779.074679294782, 355.367316, 2779.074679294782,2GB,1,1,1000
a, 1288.256383632445, 770.777692, 1288.256383632445,2GB,3,5,1000
f, 615.0379232383468, 1616.86182, 615.0379232383468,2GB,6,4,1000
c, 709.622480840193, 2212864.0, 709.622480840193,2GB,3,5,500
f, 335.3903944191038, 864.7013916500994, 335.3903944191038,2GB,3,2,1000
a, 719.165767709457, 355.2986960882648, 719.165767709457,2GB,1,5,500
f, 456.6627089231893, 359.971914556962, 456.6627089231893,2GB,1,3,1000
f, 614.5431639754797, 1618.30505625, 614.5431639754797,2GB,6,4,800
a, 629.8022420959819, 909.1635018988607, 629.8022420959819,2GB,3,4,800
a, 670.1065469409637, 946.3585054080629, 670.1065469409637,2GB,3,4,500
f, 358.7701359738815, 1371.9740388426476, 358.7701359738815,2GB,6,2,800
f, 603.4638826866212, 1648.082992, 603.4638826866212,2GB,6,1,1000
c, 1300.5803839963585, 762.837705, 1300.5803839963585,2GB,3,2,800
c, 286.4672854360032, 2259968.0, 286.4672854360032,2GB,6,1,1000
f, 2811.373693414076, 351.303182, 2811.373693414076,2GB,1,4,1000
c, 2824.01314860522, 349.693179, 2824.01314860522,2GB,1,3,1000
f, 540.5405405405405, 859.4781231439318, 540.5405405405405,2GB,3,5,500
f, 362.62102476701597, 758.208617234469, 362.62102476701597,2GB,3,5,1000
c, 2862.9505568438835, 342.16918, 2862.9505568438835,2GB,1,2,500
a, 216.99034392969511, 3098.043311845286, 216.99034392969511,2GB,6,5,1000
a, 489.4283476898982, 365.90953150242325, 489.4283476898982,2GB,1,5,1000
f, 631.9610509765063, 1571.648244, 631.9610509765063,2GB,6,1,500
c, 1293.2720753460312, 767.16483, 1293.2720753460312,2GB,3,3,800
c, 1314.267690043108, 754.83484375, 1314.267690043108,2GB,3,4,800
c, 436.2621062734491, 2210816.0, 436.2621062734491,2GB,3,2,1000
f, 489.5241824946152, 350.95717430458274, 489.5241824946152,2GB,1,2,1000
c, 673.6474506485878, 1472.180468, 673.6474506485878,2GB,6,5,500
a, 427.42349119507605, 1475.3726959692121, 427.42349119507605,2GB,3,1,500
a, 270.65064414853305, 3214.8643356643356, 270.65064414853305,2GB,6,5,500
c, 505.3312446308555, 2233344.0, 505.3312446308555,2GB,6,3,800
a, 282.35825615541, 3084.5354107648727, 282.35825615541,2GB,6,2,500
a, 637.4552785281157, 1560.70145375, 637.4552785281157,2GB,6,2,800
f, 1291.5424633331095, 766.040246, 1291.5424633331095,2GB,3,2,500
a, 501.2531328320802, 363.96170898831116, 501.2531328320802,2GB,1,4,800
c, 547.4952094169176, 2210816.0, 547.4952094169176,2GB,3,1,500
c, 637.479457224491, 1561.06977, 637.479457224491,2GB,6,4,1000
a, 643.6091541817218, 1546.060692, 643.6091541817218,2GB,6,2,1000
a, 470.41113933577947, 1436.7694895132568, 470.41113933577947,2GB,6,4,800
f, 1310.1746855908298, 757.916154, 1310.1746855908298,2GB,3,5,1000
c, 664.2703115178659, 1497.0411325, 664.2703115178659,2GB,6,5,800
f, 1276.3698000694344, 775.391274, 1276.3698000694344,2GB,3,4,500
c, 741.7847340701728, 2216960.0, 741.7847340701728,2GB,3,4,500
a, 822.7067050596462, 360.39749453171606, 822.7067050596462,2GB,1,4,1000
a, 1289.5704698678965, 767.105994, 1289.5704698678965,2GB,3,4,500
a, 659.4229060437758, 1507.9993025, 659.4229060437758,2GB,6,4,800
a, 620.0396825396825, 892.6722057368942, 620.0396825396825,2GB,3,5,800
f, 283.64770954474545, 1468.9366380171896, 283.64770954474545,2GB,6,1,1000
a, 430.9230371455658, 799.8942040492259, 430.9230371455658,2GB,3,1,1000
f, 178.35803592130844, 2725.0389401846646, 178.35803592130844,2GB,6,3,1000
f, 181.4124775502059, 2860.6070799921768, 181.4124775502059,2GB,6,1,500
a, 641.1814152284434, 1552.202671, 641.1814152284434,2GB,6,4,1000
f, 2837.040399455288, 347.26171375, 2837.040399455288,2GB,1,3,800
f, 485.24844720496895, 859.8692416012875, 485.24844720496895,2GB,3,2,800
c, 562.2399640166423, 2227200.0, 562.2399640166423,2GB,6,5,500
f, 423.3162595775304, 1324.6739482200646, 423.3162595775304,2GB,6,3,500
c, 636.3379514499596, 1564.336812, 636.3379514499596,2GB,6,3,1000
f, 1290.4957568499515, 769.508627, 1290.4957568499515,2GB,3,1,1000
c, 1288.588390076323, 770.406458, 1288.588390076323,2GB,3,2,1000
c, 622.8814245547333, 1597.071299, 622.8814245547333,2GB,6,5,1000
c, 401.4129736673089, 2219008.0, 401.4129736673089,2GB,3,1,1000
f, 448.8531801247812, 358.1440222796897, 448.8531801247812,2GB,1,1,1000
c, 623.3636703652911, 2210816.0, 623.3636703652911,2GB,3,1,800
a, 2880.4000299561603, 342.793437, 2880.4000299561603,2GB,1,4,1000
c, 753.9203860072377, 2210816.0, 753.9203860072377,2GB,1,2,500
a, 804.5052292839904, 348.7514982021574, 804.5052292839904,2GB,1,3,500
f, 499.775101204458, 877.5637127425485, 499.775101204458,2GB,3,3,800
c, 630.0113465043505, 1579.040742, 630.0113465043505,2GB,6,2,1000
a, 1290.4911770731337, 768.96623, 1290.4911770731337,2GB,3,2,800
a, 1297.1724882686963, 764.9675375, 1297.1724882686963,2GB,3,1,800
f, 478.102887741442, 835.3214711729622, 478.102887741442,2GB,3,1,800
f, 601.1349427719534, 1652.812164, 601.1349427719534,2GB,6,5,500
c, 810.3071063933231, 2216960.0, 810.3071063933231,2GB,1,5,500
f, 629.6039790971479, 339.6474891261368, 629.6039790971479,2GB,1,2,500
