ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
False,a, 430.9230371455658, 23206.0,2GB,3,1,23.206,1000
False,f, 178.35803592130844, 56067.0,2GB,6,3,56.067,1000
False,f, 181.4124775502059, 55123.0,2GB,6,1,55.123,500
True,a, 641.1814152284434, 1559621.0,2GB,6,4,1559.621,1000
True,f, 2837.040399455288, 281984.0,2GB,1,3,281.984,800
False,f, 485.24844720496895, 20608.0,2GB,3,2,20.608,800
False,c, 562.2399640166423, 17786.0,2GB,6,5,17.786,500
False,f, 423.3162595775304, 23623.0,2GB,6,3,23.623,500
True,c, 636.3379514499596, 1571492.0,2GB,6,3,1571.492,1000
True,f, 1290.4957568499515, 774896.0,2GB,3,1,774.896,1000
True,c, 1288.588390076323, 776043.0,2GB,3,2,776.043,1000
True,c, 622.8814245547333, 1605442.0,2GB,6,5,1605.442,1000
False,c, 401.4129736673089, 24912.0,2GB,3,1,24.912,1000
False,f, 448.8531801247812, 22279.0,2GB,1,1,22.279,1000
False,c, 623.3636703652911, 16042.0,2GB,3,1,16.042,800
True,a, 2880.4000299561603, 347174.0,2GB,1,4,347.174,1000
False,c, 753.9203860072377, 13264.0,2GB,1,2,13.264,500
False,a, 804.5052292839904, 12430.0,2GB,1,3,12.43,500
False,f, 499.775101204458, 20009.0,2GB,3,3,20.009,800
True,c, 630.0113465043505, 1587273.0,2GB,6,2,1587.273,1000
True,a, 1290.4911770731337, 619919.0,2GB,3,2,619.919,800
True,a, 1297.1724882686963, 616726.0,2GB,3,1,616.726,800
False,f, 478.102887741442, 20916.0,2GB,3,1,20.916,800
True,f, 601.1349427719534, 831760.0,2GB,6,5,831.76,500
False,c, 810.3071063933231, 12341.0,2GB,1,5,12.341,500
False,f, 629.6039790971479, 15883.0,2GB,1,2,15.883,500
True,f, 2916.2681100249633, 171452.0,2GB,1,4,171.452,500
True,a, 673.4222138418569, 1187962.0,2GB,6,1,1187.962,800
False,f, 542.1229534858506, 18446.0,2GB,3,4,18.446,500
False,c, 519.0221622463279, 19267.0,2GB,1,3,19.267,1000
False,c, 685.6829402084476, 14584.0,2GB,3,4,14.584,800
True,c, 591.1849593087393, 845759.0,2GB,6,1,845.759,500
False,f, 322.2272346458723, 31034.0,2GB,6,4,31.034,1000
False,a, 624.02496099844, 16025.0,2GB,3,2,16.025,800
False,c, 421.40750105351873, 23730.0,2GB,3,3,23.73,1000
False,c, 721.3966238638003, 13862.0,2GB,3,3,13.862,500
False,f, 203.3057515197105, 49187.0,2GB,6,1,49.187,800
True,a, 643.4700020719735, 1554074.0,2GB,6,3,1554.074,1000
True,c, 2825.826642600043, 283103.0,2GB,1,3,283.103,800
False,c, 740.7956144899622, 13499.0,2GB,1,4,13.499,500
True,c, 610.2612375792768, 1310914.0,2GB,6,4,1310.914,800
False,f, 460.7445632141541, 21704.0,2GB,1,4,21.704,1000
False,c, 231.50827642088205, 43195.0,2GB,6,4,43.195,1000
True,a, 1285.2247986695352, 778074.0,2GB,3,3,778.074,1000
True,f, 2873.4476199233363, 174007.0,2GB,1,1,174.007,500
False,c, 493.51033904160295, 20263.0,2GB,6,4,20.263,800
True,a, 648.3713559908865, 771163.0,2GB,6,5,771.163,500
True,f, 1295.12498765584, 617701.0,2GB,3,2,617.701,800
False,c, 684.8845969454147, 14601.0,2GB,3,3,14.601,800
True,f, 1296.4808647527368, 617055.0,2GB,3,4,617.055,800
True,f, 596.4679553555665, 838268.0,2GB,6,2,838.268,500
True,a, 1302.3525370641391, 614273.0,2GB,3,3,614.273,800
True,f, 2960.386330416119, 270235.0,2GB,1,5,270.235,800
True,c, 876.7745917737501, 1140544.0,1GB,3,3,1140.544,1000
False,c, 534.2165713980447, 18719.0,1GB,1,4,18.719,800
True,a, 2802.3450022979227, 178422.0,1GB,1,3,178.422,500
True,c, 916.1670502352717, 1091504.0,1GB,3,5,1091.504,1000
False,a, 211.36286777138992, 47312.0,1GB,6,1,47.312,800
False,a, 334.90739810442415, 29859.0,1GB,3,3,29.859,800
False,a, 326.9149040504757, 30589.0,1GB,6,3,30.589,1000
False,f, 243.00155520995335, 41152.0,1GB,6,3,41.152,800
True,c, 1880.0950576061125, 531888.0,1GB,1,4,531.888,1000
True,c, 873.6752898417774, 572295.0,1GB,3,5,572.295,500
True,a, 648.3050469737526, 1233987.0,1GB,6,3,1233.987,800
False,a, 331.78500331785006, 30140.0,1GB,6,2,30.14,800
False,f, 196.80003148800503, 50813.0,1GB,6,5,50.813,500
False,a, 267.4154298703035, 37395.0,1GB,3,4,37.395,1000
False,a, 440.0052800633608, 22727.0,1GB,3,2,22.727,1000
True,c, 1755.290555439755, 455765.0,1GB,1,4,455.765,800
False,f, 387.71712158808936, 25792.0,1GB,3,1,25.792,500
False,a, 248.20670654521086, 40289.0,1GB,1,1,40.289,500
False,f, 472.5227992250626, 21163.0,1GB,1,5,21.163,1000
True,a, 1505.9038962251507, 664053.0,1GB,1,1,664.053,1000
True,a, 952.5623928367309, 524900.0,1GB,3,1,524.9,500
True,f, 1766.378746930917, 452904.0,1GB,1,2,452.904,800
False,a, 505.1525560719337, 19796.0,1GB,6,3,19.796,500
False,f, 426.4574182267901, 23449.0,1GB,1,1,23.449,500
True,f, 646.8928764803335, 1545851.0,1GB,6,5,1545.851,1000
True,a, 1761.03231714431, 454279.0,1GB,1,5,454.279,800
False,a, 237.94793699138629, 42026.0,1GB,6,4,42.026,1000
True,f, 658.8966281788673, 1214151.0,1GB,6,2,1214.151,800
True,c, 1074.5567789085997, 744493.0,1GB,3,5,744.493,800
True,f, 953.5179089733664, 1048748.0,1GB,3,4,1048.748,1000
False,f, 455.6431402925229, 21947.0,1GB,1,4,21.947,500
True,f, 941.0949828344275, 1062592.0,1GB,3,3,1062.592,1000
False,f, 422.17249968337063, 23687.0,1GB,3,2,23.687,500
True,c, 1740.8220596971405, 459553.0,1GB,1,1,459.553,800
True,f, 655.3407403220508, 1220739.0,1GB,6,5,1220.739,800
True,c, 688.3648443813596, 726359.0,1GB,6,4,726.359,500
False,a, 520.9961446285298, 19194.0,1GB,1,2,19.194,1000
False,c, 490.02793159210074, 20407.0,1GB,6,3,20.407,500
True,f, 1569.449719539335, 637166.0,1GB,1,2,637.166,1000
False,a, 335.9876356550079, 29763.0,1GB,6,4,29.763,500
True,c, 636.8169342359153, 1256248.0,1GB,6,2,1256.248,800
True,a, 1747.9996329200771, 457666.0,1GB,1,3,457.666,800
True,a, 1758.7983889406757, 454856.0,1GB,1,4,454.856,800
True,c, 954.2303416621738, 838372.0,1GB,3,1,838.372,800
True,f, 1801.1819355861317, 555191.0,1GB,1,5,555.191,1000
True,f, 610.4232827648513, 1310566.0,1GB,6,1,1310.566,800
False,f, 311.36158420774046, 32117.0,1GB,6,4,32.117,800
False,a, 521.1590577444236, 19188.0,1GB,3,3,19.188,500
False,f, 449.3776120073698, 22253.0,1GB,1,4,22.253,800
False,f, 499.20127795527156, 20032.0,1GB,1,5,20.032,500
True,c, 1580.390514496132, 632755.0,1GB,1,5,632.755,1000
True,f, 1790.466215021564, 446811.0,1GB,1,1,446.811,800
False,c, 561.0098176718093, 17825.0,1GB,1,3,17.825,800
True,a, 657.5086667861141, 1216714.0,1GB,6,5,1216.714,800
True,a, 947.5709019927416, 1055330.0,1GB,3,2,1055.33,1000
True,a, 635.9559307978194, 1572436.0,1GB,6,5,1572.436,1000
True,c, 606.8007190588521, 1318390.0,1GB,6,3,1318.39,800
False,a, 552.4251463926638, 18102.0,1GB,1,5,18.102,800
