med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
70.8,2275,298.6,0,0,none,240.8,273.2,4529,LZ4Compressor,0,2275,169.9,0,none,0.0,2.0,78.8,0,2275,,wireless,0,writes_only
80.3,2289,368.1,0,0,none,219.9,322.2,9914,LZ4Compressor,0,2289,167.6,0,none,0.00476,4.3,87.1,0,2289,,wireless,0,writes_only
69.3,2603,356.3,0,0,none,210.4,320.1,15531,LZ4Compressor,0,2603,147.3,0,none,0.04075,6.5,76.8,0,2603,,wireless,0,writes_only
74.4,2319,325.6,0,0,none,255.7,298.6,20620,LZ4Compressor,0,2319,190.6,0,none,0.03207,8.7,86.7,0,2319,,wireless,0,writes_only
69.1,2691,328.5,0,0,none,192.2,254.5,26488,LZ4Compressor,0,2691,147.5,0,none,0.0336,10.9,74.3,0,2691,,wireless,0,writes_only
72.9,2401,353.9,0,0,none,231.1,324.0,31542,LZ4Compressor,0,2401,173.5,0,none,0.02799,13.0,82.4,0,2401,,wireless,0,writes_only
68.0,2711,350.7,0,0,none,207.4,267.9,37189,LZ4Compressor,0,2711,141.8,0,none,0.02908,15.1,73.8,0,2711,,wireless,0,writes_only
73.4,1986,584.1,0,0,none,474.7,538.4,41787,LZ4Compressor,0,1986,229.5,0,none,0.0281,17.4,100.8,0,1986,,wireless,0,writes_only
65.6,2729,339.0,0,0,none,206.2,260.6,48171,LZ4Compressor,0,2729,153.9,0,none,0.02682,19.7,73.7,0,2729,,wireless,0,writes_only
71.6,2696,223.9,0,0,none,193.6,222.6,49057,LZ4Compressor,0,2696,146.9,0,none,0.15169,20.0,76.9,0,2696,,wireless,0,writes_only
88.8,1799,276.6,0,0,none,228.2,274.7,3599,LZ4Compressor,0,1799,173.3,0,none,0.0,2.0,92.2,0,1799,,wireless,0,writes_only
90.2,2164,370.7,0,0,none,223.9,302.3,8598,LZ4Compressor,0,2164,179.2,0,none,0.07429,4.3,94.1,0,2164,,wireless,0,writes_only
79.4,2127,552.1,0,0,none,356.5,543.2,13288,LZ4Compressor,0,2127,201.6,0,none,0.07173,6.5,92.0,0,2127,,wireless,0,writes_only
