ram,wl,RunTime(s),dbs,ld,nm,Throughput(ops/sec),RunTime(ms),lt,n,rf,t,nt
2GB,c,23.73,1000,False,nodal, 421.40750105351873, 23730.0,1,3,1,3,vm
2GB,c,13.862,500,False,nodal, 721.3966238638003, 13862.0,1,3,1,3,vm
2GB,f,49.187,800,False,nodal, 203.3057515197105, 49187.0,1,6,1,1,vm
2GB,a,1554.074,1000,True,nodal, 643.4700020719735, 1554074.0,1,6,1,3,vm
2GB,c,283.103,800,True,nodal, 2825.826642600043, 283103.0,1,1,1,3,vm
2GB,c,13.499,500,False,nodal, 740.7956144899622, 13499.0,1,1,1,4,vm
2GB,c,1310.914,800,True,nodal, 610.2612375792768, 1310914.0,1,6,1,4,vm
2GB,f,21.704,1000,False,nodal, 460.7445632141541, 21704.0,1,1,1,4,vm
2GB,c,43.195,1000,False,nodal, 231.50827642088205, 43195.0,1,6,1,4,vm
2GB,a,778.074,1000,True,nodal, 1285.2247986695352, 778074.0,1,3,1,3,vm
2GB,f,174.007,500,True,nodal, 2873.4476199233363, 174007.0,1,1,1,1,vm
2GB,c,20.263,800,False,nodal, 493.51033904160295, 20263.0,1,6,1,4,vm
2GB,a,771.163,500,True,nodal, 648.3713559908865, 771163.0,1,6,1,5,vm
2GB,f,617.701,800,True,nodal, 1295.12498765584, 617701.0,1,3,1,2,vm
2GB,c,14.601,800,False,nodal, 684.8845969454147, 14601.0,1,3,1,3,vm
2GB,f,617.055,800,True,nodal, 1296.4808647527368, 617055.0,1,3,1,4,vm
2GB,f,838.268,500,True,nodal, 596.4679553555665, 838268.0,1,6,1,2,vm
2GB,a,614.273,800,True,nodal, 1302.3525370641391, 614273.0,1,3,1,3,vm
2GB,f,270.235,800,True,nodal, 2960.386330416119, 270235.0,1,1,1,5,vm
1GB,c,1140.544,1000,True,nodal, 876.7745917737501, 1140544.0,1,3,1,3,vm
1GB,c,18.719,800,False,nodal, 534.2165713980447, 18719.0,1,1,1,4,vm
1GB,a,178.422,500,True,nodal, 2802.3450022979227, 178422.0,1,1,1,3,vm
1GB,c,1091.504,1000,True,nodal, 916.1670502352717, 1091504.0,1,3,1,5,vm
1GB,a,47.312,800,False,nodal, 211.36286777138992, 47312.0,1,6,1,1,vm
1GB,a,29.859,800,False,nodal, 334.90739810442415, 29859.0,1,3,1,3,vm
1GB,a,30.589,1000,False,nodal, 326.9149040504757, 30589.0,1,6,1,3,vm
1GB,f,41.152,800,False,nodal, 243.00155520995335, 41152.0,1,6,1,3,vm
1GB,c,531.888,1000,True,nodal, 1880.0950576061125, 531888.0,1,1,1,4,vm
